,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,year,team
0,200.0,29.9,70.1,0.426,5.9,18.4,0.318,24.0,51.7,0.465,16.2,21.7,0.746,9.8,26.0,35.8,18.2,7.6,5.3,12.5,18.2,81.8,2018.0,ATL
1,202.9,31.0,68.5,0.453,7.2,19.7,0.364,23.9,48.8,0.489,14.5,18.2,0.798,8.2,24.9,33.1,21.2,6.7,3.9,14.4,18.5,83.8,2018.0,CHI
2,200.0,33.6,72.2,0.466,7.6,20.7,0.367,26.1,51.5,0.506,12.7,17.0,0.748,11.0,25.9,36.9,19.6,7.1,3.0,13.0,19.4,87.6,2018.0,CON
3,200.0,30.5,69.1,0.441,6.7,22.1,0.305,23.8,47.0,0.506,18.9,23.9,0.791,10.6,26.1,36.6,18.1,6.7,4.6,13.6,18.6,86.6,2018.0,DAL
4,202.9,28.9,71.0,0.406,5.6,17.4,0.325,23.2,53.6,0.433,13.0,16.1,0.81,8.9,24.1,33.0,16.0,6.4,2.7,11.2,18.6,76.4,2018.0,IND
5,200.7,30.2,66.7,0.452,6.0,17.3,0.347,24.2,49.4,0.489,12.6,15.5,0.81,7.2,24.1,31.3,18.3,7.9,2.8,10.9,16.4,78.9,2018.0,LAS
6,194.8,30.4,68.6,0.442,3.7,10.6,0.346,26.7,58.0,0.46,17.6,22.8,0.771,9.1,26.6,35.8,19.6,6.1,3.8,12.1,17.2,81.9,2018.0,LVA
7,200.0,30.4,67.4,0.451,5.4,15.6,0.346,25.0,51.8,0.482,12.9,16.5,0.779,8.9,26.3,35.3,19.6,6.9,2.9,13.6,16.6,78.9,2018.0,MIN
8,201.5,29.4,68.1,0.432,6.6,21.0,0.317,22.8,47.1,0.484,12.1,15.9,0.763,8.6,25.5,34.1,19.5,6.6,2.7,14.0,20.7,77.7,2018.0,NYL
9,200.0,29.9,65.3,0.457,8.5,23.5,0.36,21.4,41.8,0.512,17.5,20.6,0.849,7.2,25.4,32.6,20.6,5.8,4.7,12.7,18.9,85.8,2018.0,PHO
10,201.4,32.1,68.7,0.468,9.0,24.0,0.376,23.1,44.7,0.517,13.9,17.2,0.807,8.4,27.1,35.4,21.2,7.8,4.4,12.7,16.4,87.2,2018.0,SEA
11,194.1,29.6,66.0,0.448,8.1,22.7,0.358,21.4,43.3,0.496,14.7,17.1,0.858,8.4,23.3,31.6,17.3,7.0,3.7,11.0,17.8,82.0,2018.0,WAS
12,200.7,25.6,69.2,0.371,6.4,22.0,0.29,19.3,47.2,0.408,13.5,18.0,0.752,9.9,26.2,36.1,15.7,6.6,5.4,13.6,17.6,71.2,2019.0,ATL
13,200.7,31.4,70.0,0.448,7.3,21.6,0.336,24.1,48.4,0.498,14.6,17.9,0.819,8.2,28.2,36.4,21.6,6.8,4.5,14.4,17.7,84.6,2019.0,CHI
